,trait,efo,confidence
353,Home area population density - urban or rural: Scotland - Accessible Rural,obsolete_anlage in statu nascendi,1
354,Home area population density - urban or rural: England/Wales - Urban - less sparse,"obsolete_campomelia, Cumming type",1
355,Home area population density - urban or rural: England/Wales - Town and Fringe - less sparse,"obsolete_campomelia, Cumming type",1
356,Home area population density - urban or rural: England/Wales - Hamlet and Isolated Dwelling - less sparse,Greater Middle Eastern  (Middle Eastern or North African or Persian),2
357,Bipolar and major depression status: No Bipolar or Depression,obsolete_bipolar disorder,5
358,Bipolar and major depression status: Probable Recurrent major depression (severe),major depressive disorder,5
359,Bipolar and major depression status: Probable Recurrent major depression (moderate),obsolete_major depressive disorder,4
360,Bipolar and major depression status: Single Probable major depression episode,major depressive episode,5
361,Ever addicted to any substance or behaviour,Addictive alcohol use,4
362,Amount of alcohol drunk on a typical drinking day,bitter alcoholic beverage consumption measurement,5
363,"Ever had known person concerned about, or recommend reduction of, alcohol consumption: No",bitter non-alcoholic beverage consumption measurement,2
364,"Ever had known person concerned about, or recommend reduction of, alcohol consumption: Yes, but not in the last year",sign or symptom concerning food and fluid intake,4
365,"Ever had known person concerned about, or recommend reduction of, alcohol consumption: Yes, during the last year",sign or symptom concerning food and fluid intake,4
366,Ever addicted to alcohol,alcohol use disorder measurement,5
367,Frequency of failure to fulfil normal expectations due to drinking alcohol in last year,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",4
368,Frequency of memory loss due to drinking alcohol in last year,level of neuronal regeneration-related protein in blood serum,4
369,Frequency of feeling guilt or remorse after drinking alcohol in last year,obsolete_behavior or behavioral disorder measurement,4
370,Ever been injured or injured someone else through drinking alcohol: No,alcohol-induced mental disorder,4
371,"Ever been injured or injured someone else through drinking alcohol: Yes, but not in the last year","number of non-cancer illnesses, self-reported",3
372,Frequency of needing morning drink of alcohol after heavy drinking session in last year,"ease of getting up in the morning, self-reported",3
373,Frequency of inability to cease drinking in last year,non-substance related disinhibited behaviour,4
374,Frequency of drinking alcohol,longitudinal alcohol consumption measurement,5
375,Ongoing addiction to alcohol,Addictive alcohol use,5
376,Frequency of consuming six or more units of alcohol,sign or symptom concerning food and fluid intake,4
377,"Tense, sore, or aching muscles during worst period of anxiety",fear of severe pain measurement,4
378,Impact on normal roles during worst period of anxiety,Abnormality of mental function,5
379,Difficulty concentrating during worst period of anxiety,Abnormality of mental function,5
380,Longest period spent worried or anxious,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
381,"Ever felt worried, tense, or anxious for most of a month or longer","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
382,More irritable than usual during worst period of anxiety,"seeing a general practitioner for nerves, anxiety, tension or depression, self-reported",5
383,Keyed up or on edge during worst period of anxiety,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
384,Ever worried more than most people would in similar situation,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
385,Restless during period of worst anxiety,trait in response to buspirone,4
386,Frequent trouble falling or staying asleep during worst period of anxiety,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
387,Professional informed about anxiety,feeling tense measurement,4
388,Easily tired during worst period of anxiety,Abnormal pattern of respiration,4
389,Ever addicted to a behaviour or miscellaneous,obsolete_behavior or behavioral disorder measurement,5
390,Age at first episode of depression,age of onset of depressive disorder,5
391,Age at last episode of depression,age of onset of depressive disorder,3
392,Difficulty concentrating during worst depression,depressive episode measurement,5
393,Fraction of day affected during worst episode of depression,obsolete_major depressive disorder,5
394,Thoughts of death during worst depression,obsolete_unipolar depression,5
395,Duration of worst depression,depressive episode measurement,5
396,Frequency of depressed days during worst episode of depression,depressive episode measurement,5
397,Impact on normal roles during worst period of depression,Abnormality of mental function,5
398,Ever had prolonged loss of interest in normal activities,abnormality of serum enzyme levels,3
399,Lifetime number of depressed periods,depressive episode measurement,5
400,Depression possibly related to childbirth,mental or behavioural disorder biomarker,4
401,Ever had prolonged feelings of sadness or depression,mixed anxiety and depressive disorder,4
402,Depression possibly related to stressful or traumatic event,mental or behavioural disorder,5
403,Professional informed about depression,health literacy measurement,4
404,Feelings of tiredness during worst episode of depression,age of onset of major depressive disorder,4
405,Feelings of worthlessness during worst period of depression,self-injurious ideation,4
406,Ever taken cannabis,Cannabis use,5
407,Maximum frequency of taking cannabis,illegal drug consumption,4
408,Age when last took cannabis,age at initiation of cannabis use,2
409,General happiness,Happy demeanor,5
410,General happiness with own health,health satisfaction measurement,5
411,Belief that own life is meaningful,psychological resilience measurement,4
412,Distress caused by unusual or psychotic experiences,psychotic symptom measurement,5
413,Ever heard an un-real voice,obsolete_hearing measurement,4
414,Frequency of unusual or psychotic experiences in past year,manic or hypomanic episode,4
415,Ever seen an un-real vision,blindness (disorder),4
416,Ever talked to a health professional about unusual or psychotic experiences,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
417,Ever thought that life not worth living,feeling emotionally hurt measurement,5
418,Ever self-harmed,Self-injurious behavior,5
419,Number of times self-harmed,Self-injurious behavior,5
420,Ever attempted suicide,attempted suicide,5
421,Ever contemplated self-harm,suicidal ideation,5
422,Contemplated self-harm in past year,self-injurious ideation,5
423,Felt hated by family member as a child,feeling emotionally hurt measurement,5
424,Physically abused by family as a child,encounter with health service related to socioeconomic and psychosocial circumstances,5
425,Felt loved as a child,wellbeing measurement,5
426,Sexually molested as a child,encounter with health service related to reproduction,3
427,Someone to take to doctor when needed as a child,obsolete_childhood apraxia of speech,3
428,Longest period of mania or irritability,intellectual developmental disorder with poor growth and with or without seizures or ataxia.,2
429,Severity of problems due to mania or irritability,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",4
430,Felt irritable or had angry outbursts in past month,"neurodevelopmental disorder with behavioral abnormalities, absent speech, and hypotonia",4
431,Avoided activities or situations because of previous stressful experience in past month,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
432,Felt distant from other people in past month,"seeing a general practitioner for nerves, anxiety, tension or depression, self-reported",4
433,Repeated disturbing thoughts of stressful experience in past month,stressful life event measurement,5
434,Felt very upset when reminded of stressful experience in past month,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
435,Ever sought or received professional help for mental distress,mental or behavioural disorder,5
436,Ever suffered mental distress preventing usual activities,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
437,Ever had period of mania / excitability,regulation of sensory perception of pain,3
438,Ever had period extreme irritability,Irritability,5
439,Recent easy annoyance or irritability,irritability measurement,5
440,Recent feelings or nervousness or anxiety,mental or behavioural disorder,5
441,Recent feelings of inadequacy,Developmental stagnation at onset of seizures,2
442,Recent trouble concentrating on things,Developmental stagnation at onset of seizures,3
443,Recent inability to stop or control worrying,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
444,Recent feelings of depression,depressive symptom measurement,5
445,Recent poor appetite or overeating,sign or symptom concerning food and fluid intake,5
446,Recent feelings of foreboding,behavioural disinhibition measurement,3
447,Recent thoughts of suicide or self-harm,suicidal ideation,5
448,Recent lack of interest or pleasure in doing things,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
449,Recent trouble relaxing,feeling tense measurement,5
450,Recent restlessness,restless legs syndrome,5
451,"Trouble falling or staying asleep, or sleeping too much","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",4
452,Recent changes in speed/amount of moving or speaking,Disorder of biogenic amine metabolism and transport.,4
453,Recent feelings of tiredness or low energy,Exercise intolerance with lactic acidosis,4
454,Recent worrying too much about different things,"seeing a general practitioner for nerves, anxiety, tension or depression, self-reported",5
455,Belittlement by partner or ex-partner as an adult,"seeing a general practitioner for nerves, anxiety, tension or depression, self-reported",4
456,Been in a confiding relationship as an adult,encounter with health service related to socioeconomic and psychosocial circumstances,4
457,Physical violence by partner or ex-partner as an adult,obsolete_antisocial behaviour measurement,4
458,Sexual interference by partner or ex-partner without consent as an adult,obsolete_risky sexual behaviour measurement,4
459,Able to pay rent/mortgage as an adult,encounter with health service related to socioeconomic and psychosocial circumstances,5
460,Been in serious accident believed to be life-threatening,encounter with health service related to previous surgical history,4
461,Been involved in combat or exposed to war-zone,encounter with health service related to socioeconomic and psychosocial circumstances,4
462,Diagnosed with life-threatening illness,neoplastic disease or syndrome,5
463,Victim of physically violent crime,anti-social behavior,4
464,Witnessed sudden violent death,Sudden death,5
465,Victim of sexual assault,mental or behavioural disorder,4
466,Did your sleep change?,obsolete_sleep quality,4
467,Trouble falling asleep,insomnia measurement,5
468,Sleeping too much,sleeping behavior quality,5
469,Waking too early,short sleep,4
470,Weight change during worst episode of depression: Stayed about the same or was on a diet,"seeing a general practitioner for nerves, anxiety, tension or depression, self-reported",4
471,Weight change during worst episode of depression: Gained weight,Abnormality of body weight,5
472,Weight change during worst episode of depression: Lost weight,Abnormality of body weight,5
473,Weight change during worst episode of depression: Both gained and lost some weight during the episode,antipsychotic drug related weight gain,3
474,Frequency of difficulty controlling worry during worst period of anxiety,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",5
475,Worried most days during period of worst anxiety,obsolete_response to escitalopram,4
